i,contr?,nome,razão social,cnpj,Receita líquida pela Valor (milhões de reias),Receita líquida pela Economatica (milhões de reias),“Poder” indireto (das empresas em que i tem participação),“Poder” total (receita da empresa i + valor indireto),Indicador,Fonte,Poder direto - controle,Poder direto - parcial,Poder indireto - controle,Poder indireto - parcial,Composição acionária direta,Estatal ou Privada?
1405,"",Fidelity Investments,Fidelity Investments,'',-,-,119.94,119.94,0.00,Economatica associado,"","BM&F (6.87%)
RaiaDrogasil (4.39%)","","","",
1406,"",Alexandre Cafe Birman,Alexandre Cafe Birman,'',-,-,117.68,117.68,0.00,Economatica associado,"",Arezzo Co (17.33%),"","","",
1407,"",Eh Capital Management,Eh Capital Management,'',-,-,117.40,117.40,0.00,Economatica associado,"","Cyrela Realty (1.82%)
Cyre Com-Ccp (1.82%)","","","",
1408,"",Waldir Carlos Schulz,Waldir Carlos Schulz,'',-,-,117.31,117.31,0.00,Economatica associado,"",Schulz (16.69%),"","","",
1409,"",Gert Heinz Schulz,Gert Heinz Schulz,'',-,-,117.02,117.02,0.00,Economatica associado,"",Schulz (16.65%),"","","",
1410,"",Unibanco Uniao de Bancos Brasileiro,Unibanco Uniao de Bancos Brasileiro,'',-,-,116.94,116.94,0.00,Economatica associado,"",Redecard (4.22%),"","","",
1411,"",Degus Participacoes Lttda,Degus Participacoes Lttda,'',-,-,116.48,116.48,0.00,Economatica associado,"",Iochp-Maxion (4.01%),"","","",
1412,"",Manaca S/A Armazens Gerais Adm,Manaca S/A Armazens Gerais Adm,'',-,-,113.95,113.95,0.00,Economatica associado,Clarion (99.86%),"","","","",
1413,sim,Clarion,,'24956666000186',-,113.95,-,113.95,0.00,Economatica,"","","","",Manaca S/A Armazens Gerais Adm (99.86%),
1413,"",Credit Suisse Hedging Griffo Asset Management S.A.,Credit Suisse Hedging Griffo Asset Management S.A.,'',-,-,113.18,113.18,0.00,Economatica associado,"","Grazziotin (8.24%)
SLC Agricola (5.01%)
Metal Leve (1.74%)","","","",
1414,"",Vinci Partners,Vinci Partners,'',-,-,113.09,113.09,0.00,Economatica associado,"",Valid (12.94%),"","","",
1415,"",Polo Capital Internac Gestao de Recursos Ltda,Polo Capital Internac Gestao de Recursos Ltda,'',-,-,112.60,112.60,0.00,Economatica associado,"",Trisul (14.39%),"","","",
1416,"",IFC International Finance Corporation,IFC International Finance Corporation,'',-,-,111.33,111.33,0.00,Economatica associado,"","AGconcessoes (9.65%)
Arteb (7.14%)","","","",
1417,"",Cmeg Brazil 1 Participacoes Ltda.,Cmeg Brazil 1 Participacoes Ltda.,'',-,-,110.93,110.93,0.00,Economatica associado,"","BM&F (10.00%)
BMF Bovespa (5.24%)","","","",
1418,"",Odepar S/A Part. e Neg.,Odepar S/A Part. e Neg.,'',-,-,108.84,108.84,0.00,Economatica associado,"",Oderich (41.08%),"","","",
1419,"",Carlos Luis Terepins,Carlos Luis Terepins,'',-,-,106.69,106.69,0.00,Economatica associado,"",Even (5.59%),"","","",
1420,"",Companhia Comercial de Imoveis,Companhia Comercial de Imoveis,'',-,-,106.21,106.21,0.00,Economatica associado,Habitasul (100.00%),Celul Irani (5.43%),"","","",
1421,"",Carlos Antonio Tilkian,Carlos Antonio Tilkian,'',-,-,106.08,106.08,0.00,Economatica associado,Estrela (94.71%),"","","","",
1422,sim,Estrela,,'61082004000150',-,106.08,-,106.08,0.00,Economatica,"","","","",Carlos Antonio Tilkian (94.71%),
1422,"",Tres Marias Incorp e Constr Ltda,Tres Marias Incorp e Constr Ltda,'',-,-,104.92,104.92,0.00,Economatica associado,"",Cambuci (37.64%),"","","",
1423,"",Ice Overseas Limited,Ice Overseas Limited,'',-,-,104.45,104.45,0.00,Economatica associado,"",Cetip (12.37%),"","","",
1424,"",Colfax Particpacoes S.A.,Colfax Particpacoes S.A.,'',-,-,103.98,103.98,0.00,Economatica associado,"",Le Lis Blanc (22.07%),"","","",
1425,"",Tectoy,,'22770366000182',-,103.15,-,103.15,0.00,Economatica,"","","","","Eagle Brazil Invest.L.P. (33.42%)
Steluc Participacoes Ltda (23.30%)
Stefano Adolfo Prado Arnhold (0.36%)",
1426,"",Tecnosolo,,'33111246000190',-,102.51,-,102.51,0.00,Economatica,"","","","","Katia Mosso Ferreira (12.46%)
Marnio Everton Araujo Camacho (12.13%)
Cr2 (9.35%)
Carlos Ribeiro Mosso (6.68%)",
1427,sim,Met Duque,,'84683762000120',-,101.44,-,101.44,0.00,Economatica,"","","","",Mh Adm e Participacoes Ltda (97.14%),
1427,"",Mh Adm e Participacoes Ltda,Mh Adm e Participacoes Ltda,'',-,-,101.44,101.44,0.00,Economatica associado,Met Duque (97.14%),"","","","",
1428,"",Paulo Fernando Ferrari Lago,Paulo Fernando Ferrari Lago,'',-,-,100.06,100.06,0.00,Economatica associado,"",Positivo Inf (4.81%),"","","",
1429,"",Sofia Guimaraes Von Ridder,Sofia Guimaraes Von Ridder,'',-,-,100.06,100.06,0.00,Economatica associado,"",Positivo Inf (4.81%),"","","",
1430,"",Samuel Ferrari Lago,Samuel Ferrari Lago,'',-,-,100.06,100.06,0.00,Economatica associado,"",Positivo Inf (4.81%),"","","",
1431,"",Lucas Raduy Guimaraes,Lucas Raduy Guimaraes,'',-,-,100.06,100.06,0.00,Economatica associado,"",Positivo Inf (4.81%),"","","",
1432,"",Giem Raduy Guimaraes,Giem Raduy Guimaraes,'',-,-,100.06,100.06,0.00,Economatica associado,"",Positivo Inf (4.81%),"","","",
1433,"",Thais Susana Ferrari Lago,Thais Susana Ferrari Lago,'',-,-,100.06,100.06,0.00,Economatica associado,"",Positivo Inf (4.81%),"","","",
1434,"",Vate - Participacoes e Administracao Ltd,Vate - Participacoes e Administracao Ltd,'',-,-,99.47,99.47,0.00,Economatica associado,"",Marcopolo (2.95%),"","","",
1435,"",Invest Particip Inpasa S/A,Invest Particip Inpasa S/A,'',-,-,99.37,99.37,0.00,Economatica associado,"",Cia Hering (7.34%),"","","",
1436,"",Encorpar Investimentos Ltda,Encorpar Investimentos Ltda,'',-,-,98.13,98.13,0.00,Economatica associado,"",Cedro (18.61%),"","","",
1437,"",Meyer Joseph Nigri,Meyer Joseph Nigri,'',-,-,97.99,97.99,0.00,Economatica associado,"",Tecnisa (6.14%),"","","",
1438,sim,Pq Hopi Hari,,'00924432000199',-,97.26,-,97.26,0.00,Economatica,"","","","",Hh Parques Tematicos S.A. (100.00%),
1438,"",Hh Parques Tematicos S.A.,Hh Parques Tematicos S.A.,'',-,-,97.26,97.26,0.00,Economatica associado,Pq Hopi Hari (100.00%),"","","","",
1439,"",Sc Parcerias S/A,Sc Parcerias S/A,'',-,-,97.19,97.19,0.00,Economatica associado,"",Casan (18.03%),"","","",
1440,"",Carlos Odebrecht e Edelsa Participacoes S/A,Carlos Odebrecht e Edelsa Participacoes S/A,'',-,-,97.16,97.16,0.00,Economatica associado,"",Karsten (27.40%),"","","",
1441,"",Ivo Hering,Ivo Hering,'',-,-,96.97,96.97,0.00,Economatica associado,"",Cia Hering (7.17%),"","","",
1442,"",Maria Henriqueta Saraiva M. Goncalv,Maria Henriqueta Saraiva M. Goncalv,'',-,-,96.91,96.91,0.00,Economatica associado,"",Saraiva Livr (5.13%),"","","",
1443,"",Maria Eugenia Saraiva M. Goncalves,Maria Eugenia Saraiva M. Goncalves,'',-,-,96.91,96.91,0.00,Economatica associado,"",Saraiva Livr (5.13%),"","","",
1444,"",Maria Cecilia Saraiva M. Goncalves,Maria Cecilia Saraiva M. Goncalves,'',-,-,96.91,96.91,0.00,Economatica associado,"",Saraiva Livr (5.13%),"","","",
1445,"",Maria Sylvia Saraiva M. Goncalves,Maria Sylvia Saraiva M. Goncalves,'',-,-,96.91,96.91,0.00,Economatica associado,"",Saraiva Livr (5.13%),"","","",
1446,"",Ralf Karsten,Ralf Karsten,'',-,-,95.91,95.91,0.00,Economatica associado,"",Karsten (27.05%),"","","",
1447,"",Snow Petrel S.L.,Snow Petrel S.L.,'',-,-,95.60,95.60,0.00,Economatica associado,"",Mills (14.11%),"","","",
1448,"",Western Asset Management Company Dtvm Ltda.,Western Asset Management Company Dtvm Ltda.,'',-,-,95.56,95.56,0.00,Economatica associado,"",Even (5.01%),"","","",
1449,"",Ernesto Zarzur,Ernesto Zarzur,'',-,-,94.99,94.99,0.00,Economatica associado,"",Saraiva Livr (5.03%),"","","",
1450,"",HSBC Ctvm SA,HSBC Ctvm SA,'',-,-,94.35,94.35,0.00,Economatica associado,"",Contax (3.19%),"","","",
1451,"",Rogerio Jonas Zylbersztajn,Rogerio Jonas Zylbersztajn,'',-,-,93.68,93.68,0.00,Economatica associado,"",Cyrela Realty (1.53%),"","","",
1452,"",Condustil Part SA,Condustil Part SA,'',-,-,93.51,93.51,0.00,Economatica associado,Baumer (50.42%),"","","","",
1453,sim,Baumer,,'61374161000130',-,93.51,-,93.51,0.00,Economatica,"","","","","Condustil Part SA (50.42%)
Ruy Salvari Baumer (32.69%)
Monica Salvari Baumer (5.89%)
Maria Cristina Baumer Azevedo (5.82%)
Manoel Amaral Baumer (0.09%)",
1453,"",Lupapar Negocios e Empreendimentos,Lupapar Negocios e Empreendimentos,'',-,-,92.46,92.46,0.00,Economatica associado,"",Lupatech (16.11%),"","","",
1454,"",Gt Participacao Ltda,Gt Participacao Ltda,'',-,-,92.32,92.32,0.00,Economatica associado,"",Karsten (26.04%),"","","",
1455,"",E.M. Marim Adm. e Part. Ltda,E.M. Marim Adm. e Part. Ltda,'',-,-,91.85,91.85,0.00,Economatica associado,"",Battistella (9.68%),"","","",
1456,"",Amadeu Bardella Caparelli,Amadeu Bardella Caparelli,'',-,-,91.54,91.54,0.00,Economatica associado,"",Bardella (15.00%),"","","",
1457,"",Thema Participacoes Ltda,Thema Participacoes Ltda,'',-,-,90.51,90.51,0.00,Economatica associado,"",Metalfrio (11.98%),"","","",
1458,"",Cesar Gomes Junior,Cesar Gomes Junior,'',-,-,90.09,90.09,0.00,Economatica associado,"",Portobello (15.35%),"","","",
1459,"",Jaime Rotstein,Jaime Rotstein,'',-,-,89.75,89.75,0.00,Economatica associado,Sondotecnica (97196.26%),"","","","",
1460,sim,Sondotecnica,,'33386210000119',-,89.75,-,89.75,0.00,Economatica,"","","","","Jaime Rotstein (97196.26%)
Lully Administracao e Part. Ltda (380.26%)",
1460,"",Lully Administracao e Part. Ltda,Lully Administracao e Part. Ltda,'',-,-,89.75,89.75,0.00,Economatica associado,Sondotecnica (380.26%),"","","","",
1461,"",Iboty Brochmann Ioschpe,Iboty Brochmann Ioschpe,'',-,-,89.08,89.08,0.00,Economatica associado,"",Iochp-Maxion (3.07%),"","","",
1462,"",Isabelle Rose Marie de Segur Lamoignon,Isabelle Rose Marie de Segur Lamoignon,'',-,-,88.54,88.54,0.00,Economatica associado,"",Sul America (0.99%),"","Sul America => {Sul Amer Nac => {D F Vasconc (0.17%, final=0.00%)}}","",
1463,"",Sophie Marie Antoinette de Segur,Sophie Marie Antoinette de Segur,'',-,-,88.49,88.49,0.00,Economatica associado,"",Sul America (0.99%),"","Sul America => {Sul Amer Nac => {D F Vasconc (0.17%, final=0.00%)}}","",
1464,"",Beatriz Simon Pizzato,Beatriz Simon Pizzato,'',-,-,88.15,88.15,0.00,Economatica associado,"",Dimed (6.55%),"","","",
1465,"",Fundo de Investimento em Acoes Ip Selecao,Fundo de Investimento em Acoes Ip Selecao,'',-,-,87.37,87.37,0.00,Economatica associado,"",Dimed (6.49%),"","","",
1466,"",Peach Tree Llc,Peach Tree Llc,'',-,-,86.74,86.74,0.00,Economatica associado,"",Le Lis Blanc (18.41%),"","","",
1467,"",Walter Francisco Lafemina,Walter Francisco Lafemina,'',-,-,86.19,86.19,0.00,Economatica associado,"",Brookfield (2.31%),"","","",
1468,"",Latin America Hotels Llc,Latin America Hotels Llc,'',-,-,86.07,86.07,0.00,Economatica associado,"",BHG (46.05%),"","","",
1469,sim,Rasip Agro,,'94789468000150',-,85.19,-,85.19,0.00,Economatica,"","","","","Dramd Particip e Administr Ltda (88.17%)
Lirio Albino Parisotto (0.16%)
Silvia Maria Stefoni Mroz (0.14%)
Luiz Barsi Filho (0.02%)",
1469,"",Clica Voigt Administradora Ltda,Clica Voigt Administradora Ltda,'',-,-,85.18,85.18,0.00,Economatica associado,"",WEG (1.64%),"","","",
1470,"",Si Voigt Administradora Ltda,Si Voigt Administradora Ltda,'',-,-,85.18,85.18,0.00,Economatica associado,"",WEG (1.64%),"","","",
1471,"",Centrais Eletricas de Santa Catarin,Centrais Eletricas de Santa Catarin,'',-,-,83.48,83.48,0.00,Economatica associado,"",Casan (15.48%),"","","",
1472,"",Voigt Schwartz Administradora Ltda,Voigt Schwartz Administradora Ltda,'',-,-,83.41,83.41,0.00,Economatica associado,"",WEG (1.61%),"","","",
1473,"",Habitasul Desenvolvimentos Imobiliarios,Habitasul Desenvolvimentos Imobiliarios,'',-,-,82.81,82.81,0.00,Economatica associado,"",Celul Irani (17.20%),"","","",
1474,"",Pedro Grendene Bartelle,Pedro Grendene Bartelle,'',-,-,82.61,82.61,0.00,Economatica associado,"",Vulcabras (5.40%),"","","",
1475,"",Kondor Administradora e Gestora de Recursos Financeiros Ltda,Kondor Administradora e Gestora de Recursos Financeiros Ltda,'',-,-,81.68,81.68,0.00,Economatica associado,"",Locamerica (20.91%),"","","",
1476,"",Eleonora Ramos Gomes,Eleonora Ramos Gomes,'',-,-,80.60,80.60,0.00,Economatica associado,"",Portobello (13.74%),"","","",
1477,sim,Habitasul,,'87762563000103',-,80.05,-,80.05,0.00,Economatica,"","","","","Companhia Comercial de Imoveis (100.00%)
Pericles de Freitas Druck (0.00%)
Eurito de Freitas Druck (0.00%)",
1477,"",Metropolis Capital Markets Gmbh,Metropolis Capital Markets Gmbh,'',-,-,79.71,79.71,0.00,Economatica associado,All Ore (90.90%),Domus Populi (15.17%),"","","",
1478,sim,All Ore,,'10345009000198',-,79.71,-,79.71,0.00,Economatica,"","","","","Metropolis Capital Markets Gmbh (90.90%)
Dws Invest Bric Plus (8.96%)",
1478,"",Ggp Brazil I Llc,Ggp Brazil I Llc,'',-,-,79.70,79.70,0.00,Economatica associado,"",Aliansce (31.44%),"","","",
1479,"",Antonio Dias Dos Santos,Antonio Dias Dos Santos,'',-,-,79.66,79.66,0.00,Economatica associado,"","GPC Part (12.43%)
Haga S/A (9.03%)","","","",
1480,"",BV Empreendimentos e Participacoes S.A.,BV Empreendimentos e Participacoes S.A.,'',-,-,79.21,79.21,0.00,Economatica associado,"",Locamerica (20.27%),"","","",
1481,"",Eduardo Silveira Mufarej,Eduardo Silveira Mufarej,'',-,-,78.89,78.89,0.00,Economatica associado,"",Tarpon Inv (2.95%),"","Tarpon Inv => {Cremer (43.04%, final=1.27%), Direcional (15.12%, final=0.45%), BRF Foods => {Sadia S/A. (10.27%, final=0.02%)}}","",
1482,"",Pedro de Andrade Faria,Pedro de Andrade Faria,'',-,-,78.22,78.22,0.00,Economatica associado,"",Tarpon Inv (2.93%),"","Tarpon Inv => {Cremer (43.04%, final=1.26%), Direcional (15.12%, final=0.44%), BRF Foods => {Sadia S/A. (10.27%, final=0.02%)}}","",
1483,"",Flavio Snell,Flavio Snell,'',-,-,77.12,77.12,0.00,Economatica associado,"",Metisa (36.73%),"","","",
1484,"",Elizabeth Weber Taylor,Elizabeth Weber Taylor,'',-,-,76.78,76.78,0.00,Economatica associado,"",Dimed (5.71%),"","","",
1485,"",Roberto Luiz Weber,Roberto Luiz Weber,'',-,-,76.72,76.72,0.00,Economatica associado,"",Dimed (5.70%),"","","",
1486,"",Gif-II - Fundo de Inv. em Participacoes,Gif-II - Fundo de Inv. em Participacoes,'',-,-,76.63,76.63,0.00,Economatica associado,"","Time For Fun (6.88%)
RaiaDrogasil (1.27%)","","","",
1487,"",Mag - Fundo de Inv. em Participacoe,Mag - Fundo de Inv. em Participacoe,'',-,-,75.75,75.75,0.00,Economatica associado,"",Magnesita (3.27%),"","","",
1488,"",Orbix Multimercado Credito Privado - Fundo de Investimento,Orbix Multimercado Credito Privado - Fundo de Investimento,'',-,-,75.36,75.36,0.00,Economatica associado,"",RaiaDrogasil (2.76%),"","","",
1489,"",Geraldo Otto Weber,Geraldo Otto Weber,'',-,-,74.69,74.69,0.00,Economatica associado,"",Dimed (5.55%),"","","",
1490,"",Ridgecrest Llc,Ridgecrest Llc,'',-,-,74.54,74.54,0.00,Economatica associado,"",Direcional (6.95%),"","","",
1491,"",Administradores e Conselheiros,Administradores e Conselheiros,'',-,-,74.41,74.41,0.00,Economatica associado,"","BR Pharma (6.78%)
Estacio Part (0.57%)","","","",
1492,"","Grantham, Mayo, Van Otterloo & Co.,","Grantham, Mayo, Van Otterloo & Co.,",'',-,-,74.32,74.32,0.00,Economatica associado,"",Locamerica (19.02%),"","","",
1493,"",Aberdeen Global - Emsc Fund - Citibank Dtvm SA,Aberdeen Global - Emsc Fund - Citibank Dtvm SA,'',-,-,73.79,73.79,0.00,Economatica associado,"",Valid (8.44%),"","","",
1494,"",Martha Weber Luce,Martha Weber Luce,'',-,-,73.10,73.10,0.00,Economatica associado,"",Dimed (5.43%),"","","",
1495,"",Iberica Negocios e Participacoes Ltda.,Iberica Negocios e Participacoes Ltda.,'',-,-,72.66,72.66,0.00,Economatica associado,"",Josapar (9.86%),"","","",
1496,"",Aliperti,,'61156931000178',-,72.23,-,72.23,0.00,Economatica,"","","","","Ciro Monico Alexandre Aliperti (41.33%)
S/C Joal Empreend. e Participações (37.29%)",
1497,"",Widenham Investimentos Ltda,Widenham Investimentos Ltda,'',-,-,71.98,71.98,0.00,Economatica associado,"",Mundial (19.79%),"","","",
1498,"",Federated Equity Management Company,Federated Equity Management Company,'',-,-,70.83,70.83,0.00,Economatica associado,"",Cetip (8.39%),"","","",
1499,"",Merisa S.A. Engenharia e Planej.,Merisa S.A. Engenharia e Planej.,'',-,-,69.06,69.06,0.00,Economatica associado,Metal Iguacu (88.22%),"","","","",
1500,sim,Metal Iguacu,,'80227184000166',-,69.06,-,69.06,0.00,Economatica,"","","","","Merisa S.A. Engenharia e Planej. (88.22%)
Eurico de Avellar Kesselring (0.00%)",
1500,sim,Excelsior,,'95426862000197',-,68.75,-,68.75,0.00,Economatica,"","","","","Marfrig (53.89%)
Baumhardt Com. e Part. Ltda (46.03%)",
1500,"",Springer,,'92929520000100',-,68.71,-,68.71,0.00,Economatica,"","","","","Otamar Empreend Imobil Partic Ltda (49.07%)
Afam Empreend. e Neg. Com. Ltda (26.59%)
Psbb Administracao e Part. Ltda (10.06%)
Rogerio Pinto Coelho Amato (3.26%)
Riomar Coml e Administradora (2.17%)
Walter Sacca (0.08%)
Mario Amato (0.02%)",
1501,"",Farpal Agropastoril e Participacoes Ltda.,Farpal Agropastoril e Participacoes Ltda.,'',-,-,68.61,68.61,0.00,Economatica associado,"",Coteminas (3.95%),"","","",
1502,"",Mahle Gmbh,Mahle Gmbh,'',-,-,68.55,68.55,0.00,Economatica associado,"",Metal Leve (3.06%),"","","",
1503,"",Leonis Emp e Part Ltda,Leonis Emp e Part Ltda,'',-,-,68.51,68.51,0.00,Economatica associado,"",Cyre Com-Ccp (22.15%),"","","",
1504,"",Brazilian Fr,,'02762113000150',-,67.85,-,67.85,0.00,Economatica,"","","","",Ourinvest Real Estate Holding S.A. (0.00%),
1505,"","Green Fund, Llc","Green Fund, Llc",'',-,-,67.45,67.45,0.00,Economatica associado,"",Randon Part (1.62%),"","","",
1506,"",Constellation Investimentos e Participacoes Ltda,Constellation Investimentos e Participacoes Ltda,'',-,-,66.46,66.46,0.00,Economatica associado,"","Viver (7.20%)
Kroton (1.92%)","","","",
1507,"",Luiza Trajano Donato,Luiza Trajano Donato,'',-,-,66.42,66.42,0.00,Economatica associado,"",Magaz Luiza (1.03%),"","","",
1508,"",FIP Governanca e Gestao,FIP Governanca e Gestao,'',-,-,66.41,66.41,0.00,Economatica associado,"",Providencia (12.61%),"","","",
1509,"",Granfood Ind e Comercio Ltda,Granfood Ind e Comercio Ltda,'',-,-,66.16,66.16,0.00,Economatica associado,"",Eucatex (7.36%),"","","",
1510,"","Cia Global de Imoveis, Llc - Credit Suisse (Brasil) S/A Ctvm","Cia Global de Imoveis, Llc - Credit Suisse (Brasil) S/A Ctvm",'',-,-,64.92,64.92,0.00,Economatica associado,"",Sao Carlos (18.86%),"","","",
1511,"",Cia Habitasul de Participacoes,Cia Habitasul de Participacoes,'',-,-,64.73,64.73,0.00,Economatica associado,"",Celul Irani (13.44%),"","","",
1512,"",CSHG Verde Equity Master FIA,CSHG Verde Equity Master FIA,'',-,-,64.28,64.28,0.00,Economatica associado,"",Randon Part (1.55%),"","","",
1513,"",Pgt Administracao e Partic Ltda,Pgt Administracao e Partic Ltda,'',-,-,64.14,64.14,0.00,Economatica associado,"",DHB (21.09%),"","","",
1514,"",Bamaq S/A - Bandeirantes Maqs. e Eq,Bamaq S/A - Bandeirantes Maqs. e Eq,'',-,-,63.10,63.10,0.00,Economatica associado,"",Minasmaquinas (20.06%),"","","",
1515,"",Skopos Administradora de Recursos Ltda,Skopos Administradora de Recursos Ltda,'',-,-,62.99,62.99,0.00,Economatica associado,"",Contax (2.13%),"","","",
1516,"",Christiane Claude de Larragoiti Lucas,Christiane Claude de Larragoiti Lucas,'',-,-,62.90,62.90,0.00,Economatica associado,"",Sul America (0.70%),"","Sul America => {Sul Amer Nac => {D F Vasconc (0.17%, final=0.00%)}}","",
1517,"",Chantal de Larragoiti Lucas,Chantal de Larragoiti Lucas,'',-,-,62.86,62.86,0.00,Economatica associado,"",Sul America (0.70%),"","Sul America => {Sul Amer Nac => {D F Vasconc (0.17%, final=0.00%)}}","",
1518,"",Gstaad Investment Holding Company,Gstaad Investment Holding Company,'',-,-,62.73,62.73,0.00,Economatica associado,"",CSU Cardsystem (15.78%),"","","",
1519,"",Patrick Antonio Claude de Larragoiti Lucas,Patrick Antonio Claude de Larragoiti Lucas,'',-,-,62.68,62.68,0.00,Economatica associado,"",Sul America (0.70%),"","Sul America => {Sul Amer Nac => {D F Vasconc (0.17%, final=0.00%)}}","",
1520,"",Sn Power,Sn Power,'',-,-,62.64,62.64,0.00,Economatica associado,"",Desenvix (43.68%),"","","",
1521,"",Caixa FIP Cevix,Caixa FIP Cevix,'',-,-,62.64,62.64,0.00,Economatica associado,"",Desenvix (43.68%),"","","",
1522,"",FIP Bssf II,FIP Bssf II,'',-,-,62.08,62.08,0.00,Economatica associado,"",Providencia (11.79%),"","","",
1523,"",Guepardo Investimentos Ltda.,Guepardo Investimentos Ltda.,'',-,-,62.04,62.04,0.00,Economatica associado,"","Cremer (8.70%)
Bematech (7.53%)","","","",
1524,"",Portugal Clube de Investimentos,Portugal Clube de Investimentos,'',-,-,62.01,62.01,0.00,Economatica associado,"",GPC Part (10.08%),"","","",
1525,"",Paulo Sergio F. de Carvalho G. T.,Paulo Sergio F. de Carvalho G. T.,'',-,-,61.99,61.99,0.00,Economatica associado,"","Seg Al Bahia (31.62%)
Par Al Bahia (31.60%)","","","",
1526,"",Rio Bravo S.A,Rio Bravo S.A,'',-,-,61.17,61.17,0.00,Economatica associado,"",Valid (7.00%),"","","",
1527,"",Rosalia Pipponzi Raia,Rosalia Pipponzi Raia,'',-,-,61.07,61.07,0.00,Economatica associado,"",RaiaDrogasil (2.24%),"","","",
1528,"",Victor Adler,Victor Adler,'',-,-,60.74,60.74,0.00,Economatica associado,"","Eternit (6.71%)
Unipar (1.66%)","","","",
1529,"",Vinci Equities Gestora de Recursos Ltda,Vinci Equities Gestora de Recursos Ltda,'',-,-,60.21,60.21,0.00,Economatica associado,"","Triunfo Part (5.70%)
Taesa (1.71%)
Unipar (1.02%)","","","",
1530,"",Findllay Park Partners Llp,Findllay Park Partners Llp,'',-,-,59.48,59.48,0.00,Economatica associado,"",Estacio Part (5.18%),"","","",
